Movie_ID,TMDB_ID,IMDb_ID,Movie_Name,Original_Title,Release_Year,Release_Date,Studio,All_Production_Companies,Director,Country_Origin,Original_Language,Spoken_Languages,Animation_Style,Genre,Theme,Overview,Movie_Length_Minutes,TMDB_Rating,TMDB_Vote_Count,TMDB_Popularity,Budget_Million_USD,Box_Office_Million_USD,MPAA_Rating,Target_Audience,Voice_Cast,Live_Action_Remake,Belongs_To_Collection,Collection_ID,Poster_URL,Backdrop_URL,TMDB_URL,IMDb_URL,Is_Released,Is_TV_Compilation,Decade,Era,Popularity_Tier,Hidden_Gem,Profitability_ROI,Is_Adult_Content,Runtime_Needs_Verification,Is_Future_Release,Data_Quality_Score
1,922079,,La Nageuse,La Nageuse,1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,"Praxinoscope animation of a swimmer.  Series 2, number 8.",,3.75,4.0,0.961,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/e2rtJ3Sm6cjogWdvXbZrHhSiEAK.jpg,,https://www.themoviedb.org/movie/922079,,True,False,1870s,Silent Era,Obscure,False,,False,True,False,2
2,922018,,Le Fumeur,Le Fumeur,1878,1878-05-07,,,,France,en,zxx,2D Traditional,Animation,General Animation,"Praxinoscope animation of a man sitting backwards in a char smoking a cigar, while a dog jumps up at him.  Series 3, number 5.",,4.25,4.0,0.711,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/hog5vPusul2jvE9i814QMCo9bSs.jpg,,https://www.themoviedb.org/movie/922018,,True,False,1870s,Silent Era,Obscure,False,,False,True,False,2
3,922081,,Le Steeple-chase,Le Steeple-chase,1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,"Praxinoscope animation of an equestrian riding.  Series 3, number 8.",,4.25,4.0,0.711,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/jCJxWAb6WSnegFS7DRsxQEjAo42.jpg,,https://www.themoviedb.org/movie/922081,,True,False,1870s,Silent Era,Obscure,False,,False,True,False,2
4,922011,,Le Trapèze,Le Trapèze,1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,"Praxinoscope animation of a man spinning around a trapeze.  Series 2, number 7.",,5.0,4.0,0.961,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/ykhF8AiAhSeKTDl1FfnlR7le7I.jpg,,https://www.themoviedb.org/movie/922011,,True,False,1870s,Silent Era,Obscure,False,,False,True,False,2
5,922184,tt27119262,Les Chiens Savants,Les Chiens Savants,1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,"Praxinoscope animation of a boy holding a hoop for two trained dogs to leap through.  Series 1, number 8.",,4.5,4.0,1.4,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/f4Xr8JKynr2FdZYqdOSAuG8dAEf.jpg,,https://www.themoviedb.org/movie/922184,https://www.imdb.com/title/tt27119262,True,False,1870s,Silent Era,Obscure,False,,False,True,False,2
6,921938,,The Aquarium,L'Aquarium,1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,"Praxinoscope reel, Series 1, number 1",,3.25,4.0,0.711,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/wPfapMofHtdXDx4PP9VlaThrnse.jpg,,https://www.themoviedb.org/movie/921938,,True,False,1870s,Silent Era,Obscure,False,,False,True,False,2
7,766094,tt14495706,The Magic Rosette,La Rosace Magique,1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,"Praxinoscope strip of a shifting rosette. Series 2, number 5.",,5.583,17.0,1.108,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/5zeVMAp3R4QHGarSc4Bf3B1uBY2.jpg,,https://www.themoviedb.org/movie/766094,https://www.imdb.com/title/tt14495706,True,False,1870s,Silent Era,Obscure,False,,False,True,False,3
8,751212,tt12592084,The Musician Monkey,Le Singe Musicien,1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,A pre-cinematograph colour animation of the monkey playing his violin.,,6.048,21.0,1.031,0.0,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/fx2gnyV2n9KdOCyGzQtVnpB9bIg.jpg,,https://www.themoviedb.org/movie/751212,https://www.imdb.com/title/tt12592084,True,False,1870s,Silent Era,Obscure,False,,False,True,False,3
9,921940,tt16763774,"Zim, Boum, Boum","Zim, Boum, Boum",1878,1878-05-07,,,,France,xx,zxx,2D Traditional,Animation,General Animation,"Praxinoscope animation of a green-suited boy wearing a drum and cymbal.  Series 1, number 10",,4.125,8.0,1.4,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/ftOeRoWuBG23f1Dqd3Vmc0A2GQm.jpg,,https://www.themoviedb.org/movie/921940,https://www.imdb.com/title/tt16763774,True,False,1870s,Silent Era,Obscure,False,,False,True,False,2
10,585297,tt8588366,L'Homme Machine,L'Homme Machine,1885,1885-01-01,,,,France,xx,zxx,2D Traditional,Animation,General Animation,Animated stick drawings representing a man walking.,,4.696,28.0,1.284,,,NR,Family/All Ages,,No,False,,https://image.tmdb.org/t/p/w500/vkxWQys2cqBU7JpWL4PWYG8Va9Z.jpg,,https://www.themoviedb.org/movie/585297,https://www.imdb.com/title/tt8588366,True,False,1880s,Silent Era,Obscure,False,,False,True,False,3
